Protein Name,UniProt Accession,Accession (without isoform number),Gene Name,BPA ,P value,E2,P value,PCB,P value,Pht,P value,EntrezGene
7SK snRNA methylphosphate capping enzyme  ,sp|Q8K3A9|MEPCE_MOUSE,Q8K3A9,Mepce,0.22,0.22,-0.07,0.933,0.16,0.449,0.09,0.134,231803
80 kDa MCM3-associated protein  ,sp|Q9WUU9|MCM3A_MOUSE,Q9WUU9,Mcm3ap,0.11,0.59,-0.14,0.34,-0.07,0.252,0.5,0.965,54387
A disintegrin and metalloproteinase with thrombospondin motifs 4  ,sp|Q8BNJ2|ATS4_MOUSE,Q8BNJ2,Adamts4,0.58,0.152,0.54,0.125,0.75,0.223,0.8,0.979,240913
Abhydrolase domain-containing protein 4  ,sp|Q8VD66|ABHD4_MOUSE,Q8VD66,Abhd4,-0.45,0.229,0.3,0.608,0.51,0.131,0.6,0.024,105501
Acetoacetyl-CoA synthetase  ,sp|Q9D2R0|AACS_MOUSE,Q9D2R0,Aacs,-0.26,0.232,-0.17,0.495,-0.17,0.82,-0.24,0.79,78894
Acetolactate synthase-like protein  ,sp|Q8BU33|ILVBL_MOUSE,Q8BU33,Ilvbl,0.31,0.134,-0.14,0.694,0.51,0.368,0.42,0.572,216136
"Acetyl-CoA acetyltransferase, cytosolic  ",sp|Q8CAY6|THIC_MOUSE,Q8CAY6,Acat2,-0.1,0.633,-0.24,0.383,-0.32,0.95,-0.69,0.774,110460
"Acetyl-CoA acetyltransferase, mitochondrial  ",sp|Q8QZT1|THIL_MOUSE,Q8QZT1,Acat1,-0.41,0.599,-0.52,0.531,0.05,0.897,-0.04,0.583,110446
"Acetyl-coenzyme A synthetase 2-like, mitochondrial  ",sp|Q99NB1|ACS2L_MOUSE,Q99NB1,Acss1,-0.06,0.84,-0.32,0.875,0.26,0.903,0.49,0.369,68738
"Acetyl-coenzyme A synthetase, cytoplasmic  ",sp|Q9QXG4|ACSA_MOUSE,Q9QXG4,Acss2,0.01,0.958,-0.04,0.622,0.06,0.879,0.06,0.954,60525
Acid ceramidase  ,sp|Q9WV54|ASAH1_MOUSE,Q9WV54,Asah1,0.2,0.4,0.16,0.413,-0.15,0.526,-0.38,0.92,11886
Acid sphingomyelinase-like phosphodiesterase 3a  ,sp|P70158|ASM3A_MOUSE,P70158,Smpdl3a,0.27,0.219,0.14,0.746,-0.03,0.468,0.01,0.403,57319
Acid sphingomyelinase-like phosphodiesterase 3b  ,sp|P58242|ASM3B_MOUSE,P58242,Smpdl3b,-0.26,0.172,-0.18,0.227,0.07,0.911,0.31,0.498,100340
Acid trehalase-like protein 1  ,sp|Q8BP56|ATHL1_MOUSE,Q8BP56,Athl1,-0.08,0.734,-0.18,0.206,-0.1,0.548,-0.07,0.841,212974
Acidic fibroblast growth factor intracellular-binding protein  ,sp|Q9JI19|FIBP_MOUSE,Q9JI19,Fibp,0.45,0.192,0.25,0.251,0.58,0.71,1.28,0.657,58249
Acidic leucine-rich nuclear phosphoprotein 32 family member A  ,sp|O35381|AN32A_MOUSE,O35381,Anp32a,0.01,0.98,-0.21,0.961,0.14,0.937,0.25,0.986,11737
Acidic leucine-rich nuclear phosphoprotein 32 family member B  ,sp|Q9EST5|AN32B_MOUSE,Q9EST5,Anp32b,-0.27,0.16,-0.37,0.124,-0.66,0.667,-1.26,0.287,67628
Acidic leucine-rich nuclear phosphoprotein 32 family member E  ,sp|P97822|AN32E_MOUSE,P97822,Anp32e,-0.45,0.201,0.03,0.632,-0.71,0.757,-1.2,0.776,66471
"Aconitate hydratase, mitochondrial  ",sp|Q99KI0|ACON_MOUSE,Q99KI0,Aco2,-0.18,0.682,-0.37,0.501,0.11,0.604,0.23,0.552,11429
Actin filament-associated protein 1  ,sp|Q80YS6|AFAP1_MOUSE,Q80YS6,Afap1,-0.04,0.827,0.09,0.442,0.12,0.84,0.28,0.886,70292
Actin filament-associated protein 1-like 1  ,sp|Q8BZI0|AF1L1_MOUSE,Q8BZI0,Afap1l1,-0.05,0.853,0.38,0.477,0.23,0.588,0.28,0.531,106877
Actin filament-associated protein 1-like 2  ,sp|Q5DTU0|AF1L2_MOUSE,Q5DTU0,Afap1l2,0.23,0.29,-0.03,0.424,0.21,0.392,0.34,0.261,226250
"Actin, alpha skeletal muscle  ",sp|P68134|ACTS_MOUSE,P68134,Acta1,0.62,0.169,0.82,0.159,0.94,0.202,1.04,0.496,11459
"Actin, cytoplasmic 2  ",sp|P63260|ACTG_MOUSE,P63260,Actg1,-0.25,0.489,-0.41,0.38,-0.16,0.507,-0.23,0.598,11465
"Actin, gamma-enteric smooth muscle  ",sp|P63268|ACTH_MOUSE,P63268,Actg2,-0.37,0.154,-0.23,0.314,0.33,0.299,-0.19,0.741,11468
Actin-like protein 6A  ,sp|Q9Z2N8|ACL6A_MOUSE,Q9Z2N8,Actl6a,-0.05,0.824,-0.09,0.906,-0.07,0.546,0,0.51,56456
Actin-related protein 10  ,sp|Q9QZB7|ARP10_MOUSE,Q9QZB7,Actr10,0.08,0.806,-0.23,0.691,0.16,0.676,0.2,0.574,56444
Actin-related protein 2  ,sp|P61161|ARP2_MOUSE,P61161,Actr2,-0.45,0.049,-0.19,0.428,-0.36,0.18,-0.4,0.261,66713
Actin-related protein 2/3 complex subunit 1A  ,sp|Q9R0Q6|ARC1A_MOUSE,Q9R0Q6,Arpc1a,0.02,0.926,-0.24,0.187,-0.12,0.398,-0.29,0.466,56443
Actin-related protein 2/3 complex subunit 1B  ,sp|Q9WV32|ARC1B_MOUSE,Q9WV32,Arpc1b,0,0.982,0.14,0.762,0.14,0.648,-0.06,0.228,11867
Actin-related protein 2/3 complex subunit 2  ,sp|Q9CVB6|ARPC2_MOUSE,Q9CVB6,Arpc2,-0.03,0.898,-0.06,0.881,-0.49,0.834,-0.98,0.902,76709
Actin-related protein 2/3 complex subunit 3  ,sp|Q9JM76|ARPC3_MOUSE,Q9JM76,Arpc3,-0.43,0.172,-0.45,0.315,0.04,0.922,-0.31,0.047,56378
Actin-related protein 2/3 complex subunit 4  ,sp|P59999|ARPC4_MOUSE,P59999,Arpc4,0.12,0.682,0.18,0.418,-0.36,0.528,-0.18,0.908,68089
Actin-related protein 2/3 complex subunit 5  ,sp|Q9CPW4|ARPC5_MOUSE,Q9CPW4,Arpc5,-0.07,0.72,-0.51,0.027,0.19,0.721,0.25,0.444,67771
Actin-related protein 2/3 complex subunit 5-like protein  ,sp|Q9D898|ARP5L_MOUSE,Q9D898,Arpc5l,0.18,0.526,0.39,0.372,-0.26,0.538,-0.11,0.866,74192
Actin-related protein 3  ,sp|Q99JY9|ARP3_MOUSE,Q99JY9,Actr3,-0.1,0.676,0.32,0.126,0.19,0.406,0.07,0.673,74117
Activated RNA polymerase II transcriptional coactivator p15  ,sp|P11031|TCP4_MOUSE,P11031,Sub1,-0.05,0.777,-0.34,0.117,0.14,0.861,0.22,0.48,20024
Activating sial cointegrator 1 complex subunit 1  ,sp|Q9D8Z1|ASCC1_MOUSE,Q9D8Z1,Ascc1,-0.2,0.355,-0.23,0.07,-0.54,0.127,-0.52,0.825,69090
Activating transcription factor 7-interacting protein 1  ,sp|Q7TT18|MCAF1_MOUSE,Q7TT18,Atf7ip,0.01,0.962,-0.72,0.151,0.21,0.52,0.59,0.621,54343
Activator of 90 kDa heat shock protein ATPase homolog 1  ,sp|Q8BK64|AHSA1_MOUSE,Q8BK64,Ahsa1,0.03,0.846,-0.12,0.694,-0.29,0.428,-0.45,0.267,217737
Active regulator of SIRT1  ,sp|Q8C6B9|AROS_MOUSE,Q8C6B9,Rps19bp1,-0.26,0.259,-0.02,0.848,0.1,0.97,0.28,0.647,66538
Activity-dependent neuroprotector homeobox protein  ,sp|Q9Z103|ADNP_MOUSE,Q9Z103,Adnp,0.05,0.789,0,0.952,0.07,0.808,0.45,0.442,11538
"Acyl carrier protein, mitochondrial  ",sp|Q9CR21|ACPM_MOUSE,Q9CR21,Ndufab1,-0.53,0.397,-0.54,0.275,-0.72,0.775,-2.09,0.261,70316
Acyl-CoA dehydrogenase family member 10  ,sp|Q8K370|ACD10_MOUSE,Q8K370,Acad10,-0.07,0.702,-1.15,0.381,1.62,0.66,3.48,0.339,71985
"Acyl-CoA dehydrogenase family member 9, mitochondrial  ",sp|Q8JZN5|ACAD9_MOUSE,Q8JZN5,Acad9,-0.11,0.802,-0.01,0.242,0.18,0.961,0.2,0.786,229211
"Acyl-CoA synthetase family member 2, mitochondrial  ",sp|Q8VCW8|ACSF2_MOUSE,Q8VCW8,Acsf2,-0.33,0.24,0.26,0.804,0.03,0.273,0.16,0.068,264895
"Acyl-CoA synthetase family member 3, mitochondrial  ",sp|Q3URE1|ACSF3_MOUSE,Q3URE1,Acsf3,0.05,0.812,-0.02,0.454,0.17,0.73,0.46,0.195,257633
Acyl-CoA-binding protein  ,sp|P31786|ACBP_MOUSE,P31786,Dbi,-0.38,0.137,-0.51,0.123,-0.97,0.433,-1.22,0.486,13167
Acyl-coenzyme A thioesterase 1  ,sp|O55137|ACOT1_MOUSE,O55137,Acot1,-0.25,0.314,0.06,0.847,0.12,0.826,0.36,0.643,26897
Acyl-coenzyme A thioesterase 13  ,sp|Q9CQR4|ACO13_MOUSE,Q9CQR4,Acot13,0.23,0.432,-0.02,0.358,0.2,0.529,0.11,0.554,66834
"Acyl-coenzyme A thioesterase 9, mitochondrial  ",sp|Q9R0X4|ACOT9_MOUSE,Q9R0X4,Acot9,0.31,0.1,-0.08,0.788,0.32,0.597,0.54,0.429,56360
Acylphosphatase-1  ,sp|P56376|ACYP1_MOUSE,P56376,Acyp1,0.15,0.437,0.06,0.568,-0.12,0.988,-0.22,0.429,66204
Acylphosphatase-2  ,sp|P56375|ACYP2_MOUSE,P56375,Acyp2,-0.02,0.948,0.03,0.65,-0.18,0.712,-0.72,0.302,75572
Acyl-protein thioesterase 1  ,sp|P97823|LYPA1_MOUSE,P97823,Lypla1,0.07,0.73,-0.06,0.722,0.02,0.754,0.13,0.081,18777
Acyl-protein thioesterase 2  ,sp|Q9WTL7|LYPA2_MOUSE,Q9WTL7,Lypla2,-0.39,0.28,-0.46,0.026,-0.3,0.201,-0.03,0.989,26394
"Acylpyruvase FAHD1, mitochondrial  ",sp|Q8R0F8|FAHD1_MOUSE,Q8R0F8,Fahd1,-0.27,0.418,-0.32,0.842,-0.24,0.089,0.1,0.215,68636
Adapter molecule crk  ,sp|Q64010|CRK_MOUSE,Q64010,Crk,0.07,0.687,0.4,0.429,-0.03,0.333,-0.02,0.144,12928
Adaptin ear-binding coat-associated protein 2  ,sp|Q9D1J1|NECP2_MOUSE,Q9D1J1,Necap2,-0.09,0.672,-0.09,0.525,0.07,0.405,-0.41,0.777,66147
Adenine phosphoribosyltransferase  ,sp|P08030|APT_MOUSE,P08030,Aprt,0.33,0.202,0.32,0.63,-0.05,0.302,-0.39,0.027,11821
Adenosine deaminase  ,sp|P03958|ADA_MOUSE,P03958,Ada,0.05,0.779,0.1,0.626,-0.03,0.875,-0.02,0.985,11486
"Adenylate kinase 2, mitochondrial  ",sp|Q9WTP6|KAD2_MOUSE,Q9WTP6,Ak2,-0.48,0.053,-0.15,0.427,-0.29,0.288,0.11,0.322,11637
"Adenylate kinase isoenzyme 4, mitochondrial  ",sp|Q9WUR9|KAD4_MOUSE,Q9WUR9,Ak4,-0.06,0.726,-0.48,0.022,0.13,0.975,0.36,0.459,11639
Adenylosuccinate lyase  ,sp|P54822|PUR8_MOUSE,P54822,Adsl,0.19,0.324,0.24,0.29,-0.12,0.555,-0.04,0.163,11564
Adenylosuccinate synthetase isozyme 1  ,sp|P28650|PURA1_MOUSE,P28650,Adssl1,0.57,0.19,0.3,0.85,-0.35,0.511,-0.91,0.991,11565
Adenylosuccinate synthetase isozyme 2  ,sp|P46664|PURA2_MOUSE,P46664,Adss,-0.04,0.84,0.09,0.598,-0.26,0.642,-0.34,0.828,11566
Adenylyl cyclase-associated protein 1  ,sp|P40124|CAP1_MOUSE,P40124,Cap1,-0.52,0.021,-0.36,0.18,0,0.908,0.04,0.987,12331
Adenylyltransferase and sulfurtransferase MOCS3  ,sp|A2BDX3|MOCS3_MOUSE,A2BDX3,Mocs3,-0.08,0.671,0.34,0.324,0.13,0.898,0.1,0.79,69372
Adipocyte plasma membrane-associated protein  ,sp|Q9D7N9|APMAP_MOUSE,Q9D7N9,Apmap,0.02,0.971,-0.42,0.29,-0.07,0.982,0.37,0.003,71881
ADP/ATP translocase 1  ,sp|P48962|ADT1_MOUSE,P48962,Slc25a4,-0.61,0.32,-0.69,0.174,0.23,0.893,0.43,0.67,11739
ADP/ATP translocase 2  ,sp|P51881|ADT2_MOUSE,P51881,Slc25a5,-0.53,0.448,-1.34,0.033,0.07,0.537,0.29,0.95,11740
ADP-dependent glucokinase  ,sp|Q8VDL4|ADPGK_MOUSE,Q8VDL4,Adpgk,0.33,0.229,0.78,0.047,0.32,0.432,0.1,0.869,72141
"ADP-ribose pyrophosphatase, mitochondrial  ",sp|Q8BVU5|NUDT9_MOUSE,Q8BVU5,Nudt9,0.05,0.794,-0.22,0.469,0.2,0.327,0.3,0.37,74167
ADP-ribosylation factor 1  ,sp|P84078|ARF1_MOUSE,P84078,Arf1,-0.1,0.784,0.44,0.041,-0.93,0.408,-1.01,0.338,11840
ADP-ribosylation factor 3  ,sp|P61205|ARF3_MOUSE,P61205,Arf3,0.18,0.573,0.42,0.06,-0.75,0.665,-1.25,0.064,11842
ADP-ribosylation factor 4  ,sp|P61750|ARF4_MOUSE,P61750,Arf4,-0.44,0.229,-0.18,0.813,-0.06,0.79,-0.39,0.139,11843
ADP-ribosylation factor 5  ,sp|P84084|ARF5_MOUSE,P84084,Arf5,-0.32,0.286,-0.31,0.708,-0.64,0.112,-0.13,0.038,11844
ADP-ribosylation factor 6  ,sp|P62331|ARF6_MOUSE,P62331,Arf6,-0.35,0.19,-0.39,0.118,-0.74,0.116,-0.76,0.069,11845
ADP-ribosylation factor GTPase-activating protein 1  ,sp|Q9EPJ9|ARFG1_MOUSE,Q9EPJ9,Arfgap1,0.15,0.395,-0.1,0.036,0.74,0.339,0.87,0.366,228998
ADP-ribosylation factor GTPase-activating protein 2  ,sp|Q99K28|ARFG2_MOUSE,Q99K28,Arfgap2,0.1,0.556,-0.2,0.746,0.02,0.546,0.24,0.92,77038
ADP-ribosylation factor GTPase-activating protein 3  ,sp|Q9D8S3|ARFG3_MOUSE,Q9D8S3,Arfgap3,0.01,0.951,0.24,0.909,-0.54,0.249,-1.04,0.111,66251
ADP-ribosylation factor-binding protein GGA1  ,sp|Q8R0H9|GGA1_MOUSE,Q8R0H9,Gga1,-0.32,0.099,0.05,0.186,-0.22,0.954,-0.58,0.343,106039
ADP-ribosylation factor-binding protein GGA2  ,sp|Q6P5E6|GGA2_MOUSE,Q6P5E6,Gga2,-0.49,0.08,-0.4,0.105,0.19,0.583,0.41,0.945,74105
ADP-ribosylation factor-like protein 1  ,sp|P61211|ARL1_MOUSE,P61211,Arl1,-0.43,0.077,0.02,0.739,-0.55,0.11,-0.79,0.078,104303
ADP-ribosylation factor-like protein 2  ,sp|Q9D0J4|ARL2_MOUSE,Q9D0J4,Arl2,0.1,0.784,0.09,0.474,0.25,0.336,0.28,0.838,56327
ADP-ribosylation factor-like protein 3  ,sp|Q9WUL7|ARL3_MOUSE,Q9WUL7,Arl3,-0.07,0.668,-0.06,0.696,-0.01,0.651,0.07,0.588,56350
ADP-ribosylation factor-like protein 8A  ,sp|Q8VEH3|ARL8A_MOUSE,Q8VEH3,Arl8a,0.07,0.762,-0.15,0.558,-0.34,0.228,0.29,0.285,68724
ADP-ribosylation factor-like protein 8B  ,sp|Q9CQW2|ARL8B_MOUSE,Q9CQW2,Arl8b,-0.07,0.669,-0.19,0.992,-0.13,0.442,0.02,0.686,67166
ADP-sugar pyrophosphatase  ,sp|Q9JKX6|NUDT5_MOUSE,Q9JKX6,Nudt5,-0.22,0.385,-0.3,0.094,-0.04,0.275,0.27,0.924,53893
"Adrenodoxin, mitochondrial  ",sp|P46656|ADX_MOUSE,P46656,Fdx1,0,0.993,-0.37,0.172,0.08,0.974,0.24,0.563,14148
Adseverin  ,sp|Q60604|ADSV_MOUSE,Q60604,Scin,0.19,0.328,-0.07,0.981,0.27,0.556,0.22,0.972,20259
Aflatoxin B1 aldehyde reductase member 2  ,sp|Q8CG76|ARK72_MOUSE,Q8CG76,Akr7a2,0.05,0.743,0.16,0.803,0.27,0.721,0.17,0.718,110198
AH receptor-interacting protein  ,sp|O08915|AIP_MOUSE,O08915,Aip,-0.04,0.804,-0.41,0.312,-0.06,0.149,0.47,0.388,11632
A-kinase anchor protein 8  ,sp|Q9DBR0|AKAP8_MOUSE,Q9DBR0,Akap8,-0.14,0.437,-0.27,0.385,-0.35,0.554,-0.32,0.891,56399
A-kinase anchor protein 9  ,sp|Q70FJ1|AKAP9_MOUSE,Q70FJ1,Akap9,0.18,0.629,0.43,0.167,0.49,0.124,0.46,0.351,100986
Aladin  ,sp|P58742|AAAS_MOUSE,P58742,Aaas,0.17,0.416,0.98,0.01,0.15,0.653,0.68,0.14,223921
Alanine aminotransferase 2  ,sp|Q8BGT5|ALAT2_MOUSE,Q8BGT5,Gpt2,-0.29,0.125,-0.37,0.089,-0.19,0.082,0.25,0.905,108682
"Alanine--tRNA ligase, cytoplasmic  ",sp|Q8BGQ7|SYAC_MOUSE,Q8BGQ7,Aars,0.08,0.691,0.16,0.355,0.21,0.11,0.07,0.682,234734
Alanyl-tRNA editing protein Aarsd1  ,sp|Q3THG9|AASD1_MOUSE,Q3THG9,Aarsd1,-0.3,0.22,0.14,0.556,-0.08,0.382,-0.38,0.186,69684
Alcohol dehydrogenase [NADP(+)]  ,sp|Q9JII6|AK1A1_MOUSE,Q9JII6,Akr1a1,-0.04,0.846,-0.61,0.169,0.25,0.506,0.48,0.11,58810
Alcohol dehydrogenase class-3  ,sp|P28474|ADHX_MOUSE,P28474,Adh5,-0.21,0.371,-0.46,0.137,-0.39,0.121,-0.34,0.42,11532
Aldehyde dehydrogenase family 1 member A3  ,sp|Q9JHW9|AL1A3_MOUSE,Q9JHW9,Aldh1a3,-0.14,0.377,-0.75,0.009,-0.15,0.749,-0.3,0.651,56847
Aldehyde dehydrogenase family 16 member A1  ,sp|Q571I9|A16A1_MOUSE,Q571I9,Aldh16a1,0.04,0.823,0.16,0.821,0.01,0.695,-0.09,0.857,69748
"Aldehyde dehydrogenase, mitochondrial  ",sp|P47738|ALDH2_MOUSE,P47738,Aldh2,-0.72,0.39,0.02,0.397,-0.24,0.689,-0.45,0.538,11669
Aldose 1-epimerase  ,sp|Q8K157|GALM_MOUSE,Q8K157,Galm,0.1,0.605,0.43,0.554,-0.24,0.539,-0.14,0.428,319625
Aldose reductase  ,sp|P45376|ALDR_MOUSE,P45376,Akr1b1,0.11,0.637,-0.25,0.392,-0.07,0.496,-0.26,0.748,11677
Aldose reductase-related protein 2  ,sp|P45377|ALD2_MOUSE,P45377,Akr1b8,0.31,0.118,0.25,0.598,0.19,0.817,0.08,0.436,14187
"Alkaline phosphatase, tissue-nonspecific isozyme  ",sp|P09242|PPBT_MOUSE,P09242,Alpl,0.57,0.054,1.05,0,0.17,0.857,-0.19,0.253,11647
"Alkyldihydroxyacetonephosphate synthase, peroxisomal  ",sp|Q8C0I1|ADAS_MOUSE,Q8C0I1,Agps,-0.08,0.697,0.1,0.626,-0.39,0.404,-0.54,0.85,228061
"Alpha-(1,3)-fucosyltransferase 11  ",sp|Q8BHC9|FUT11_MOUSE,Q8BHC9,Fut11,0.21,0.518,-0.35,0.454,-0.54,0.52,-0.67,0.538,73068
Alpha/beta hydrolase domain-containing protein 11  ,sp|Q8K4F5|ABHDB_MOUSE,Q8K4F5,Abhd11,0.37,0.278,0.07,0.289,-0.17,0.578,-0.49,0.293,68758
"Alpha-1,3/1,6-mannosyltransferase ALG2  ",sp|Q9DBE8|ALG2_MOUSE,Q9DBE8,Alg2,-0.23,0.216,0.07,0.875,0.03,0.927,0.07,0.986,56737
"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase  ",sp|Q921V5|MGAT2_MOUSE,Q921V5,Mgat2,0.14,0.475,-0.12,0.719,-0.75,0.463,-1.4,0.964,217664
"Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A  ",sp|Q8R4G6|MGT5A_MOUSE,Q8R4G6,Mgat5,0.14,0.616,0.15,0.276,0.16,0.337,0.17,0.018,107895
Alpha-2-macroglobulin receptor-associated protein  ,sp|P55302|AMRP_MOUSE,P55302,Lrpap1,-0.06,0.705,-0.4,0.076,0.12,0.988,0.18,0.685,16976
Alpha-2-macroglobulin-P  ,sp|Q6GQT1|A2MP_MOUSE,Q6GQT1,A2mp,-0.89,0.197,-0.39,0.215,0.28,0.578,0.44,0.83,232345
Alpha-actinin-1  ,sp|Q7TPR4|ACTN1_MOUSE,Q7TPR4,Actn1,-0.31,0.225,-0.04,0.733,-0.55,0.905,-1.05,0.214,109711
Alpha-actinin-2  ,sp|Q9JI91|ACTN2_MOUSE,Q9JI91,Actn2,0.36,0.177,-0.15,0.967,0.38,0.626,0.5,0.613,11472
Alpha-actinin-4  ,sp|P57780|ACTN4_MOUSE,P57780,Actn4,-0.39,0.181,-0.17,0.839,-0.34,0.41,-0.38,0.204,60595
Alpha-centractin  ,sp|P61164|ACTZ_MOUSE,P61164,Actr1a,0.14,0.463,-0.05,0.517,0.14,0.319,-0.05,0.621,54130
Alpha-crystallin B chain  ,sp|P23927|CRYAB_MOUSE,P23927,Cryab,-0.45,0.187,-0.25,0.311,-0.14,0.76,-0.56,0.189,12955
Alpha-ketoglutarate-dependent dioxygenase FTO  ,sp|Q8BGW1|FTO_MOUSE,Q8BGW1,Fto,-0.08,0.695,-0.17,0.887,-0.18,0.315,-0.07,0.734,26383
Alpha-lactalbumin  ,sp|P29752|LALBA_MOUSE,P29752,Lalba,0.04,0.947,-1.12,0.332,-0.42,0.445,-0.33,0.842,16770
Alpha-mannosidase 2  ,sp|P27046|MA2A1_MOUSE,P27046,Man2a1,0.18,0.492,0.15,0.495,0.05,0.371,-0.05,0.182,17158
Alpha-mannosidase 2C1  ,sp|Q91W89|MA2C1_MOUSE,Q91W89,Man2c1,-0.09,0.667,0.18,0.658,-0.1,0.881,-0.05,0.312,73744
Alpha-methylacyl-CoA racemase  ,sp|O09174|AMACR_MOUSE,O09174,Amacr,-0.13,0.422,-0.42,0.152,-0.16,0.04,0.27,0.486,17117
Alpha-N-acetylgalactosaminidase  ,sp|Q9QWR8|NAGAB_MOUSE,Q9QWR8,Naga,0.07,0.725,0.12,0.309,0.11,0.794,-0.05,0.546,17939
Alpha-parvin  ,sp|Q9EPC1|PARVA_MOUSE,Q9EPC1,Parva,0.35,0.161,0.38,0.174,-0.04,0.95,-0.25,0.3,57342
Alpha-S1-casein  ,sp|P19228|CASA1_MOUSE,P19228,Csn1s1,-0.38,0.095,-0.34,0.291,-0.27,0.025,-0.09,0.091,12990
Alpha-soluble NSF attachment protein  ,sp|Q9DB05|SNAA_MOUSE,Q9DB05,Napa,-0.06,0.723,0.29,0.439,-0.05,0.155,-0.2,0.169,108124
Alpha-taxilin  ,sp|Q6PAM1|TXLNA_MOUSE,Q6PAM1,Txlna,0.35,0.096,0.12,0.506,0.17,0.86,0.38,0.634,109658
Amine oxidase [flavin-containing] A  ,sp|Q64133|AOFA_MOUSE,Q64133,Maoa,-0.01,0.94,0.05,0.824,0.19,0.613,0.28,0.353,17161
Aminoacyl tRNA synthase complex-interacting multifunctional protein 2  ,sp|Q8R010|AIMP2_MOUSE,Q8R010,Aimp2,-0.45,0.102,-0.21,0.304,-0.04,0.352,0.23,0.432,231872
Aminoacylase-1  ,sp|Q99JW2|ACY1_MOUSE,Q99JW2,Acy1,0.07,0.763,0.21,0.318,0,0.91,-0.02,0.627,109652
Aminopeptidase B  ,sp|Q8VCT3|AMPB_MOUSE,Q8VCT3,Rnpep,-0.02,0.893,0.1,0.445,-0.15,0.282,0.06,0.261,215615
Aminopeptidase N  ,sp|P97449|AMPN_MOUSE,P97449,Anpep,-0.25,0.347,0.1,0.857,-0.28,0.283,-0.26,0.651,16790
AMP deaminase 2  ,sp|Q9DBT5|AMPD2_MOUSE,Q9DBT5,Ampd2,0.63,0.078,0.24,0.463,0.56,0.994,1.19,0.451,109674
AMSH-like protease  ,sp|Q76N33|STALP_MOUSE,Q76N33,Stambpl1,0.23,0.275,0.07,0.995,0.14,0.641,0.25,0.595,76630
AN1-type zinc finger protein 1  ,sp|Q8BFR6|ZFAN1_MOUSE,Q8BFR6,Zfand1,-0.03,0.941,-0.08,0.951,0.29,0.336,0.23,0.273,66361
AN1-type zinc finger protein 2B  ,sp|Q91X58|ZFN2B_MOUSE,Q91X58,Zfand2b,-0.04,0.919,-0.13,0.644,0.29,0.405,0.16,0.937,68818
AN1-type zinc finger protein 6  ,sp|Q9DCH6|ZFAN6_MOUSE,Q9DCH6,Zfand6,-0.12,0.508,-0.49,0.005,-0.41,0.037,-0.16,0.773,65098
Anamorsin  ,sp|Q8WTY4|CPIN1_MOUSE,Q8WTY4,Ciapin1,0.13,0.485,0.31,0.285,0.05,0.759,-0.35,0.155,109006
Anaphase-promoting complex subunit 1  ,sp|P53995|APC1_MOUSE,P53995,Anapc1,0.43,0.058,-0.09,0.293,0.04,0.963,-0.2,0.089,17222
Anaphase-promoting complex subunit 2  ,sp|Q8BZQ7|ANC2_MOUSE,Q8BZQ7,Anapc2,-0.11,0.614,0.39,0.311,-0.45,0.941,-1.06,0.39,99152
Anaphase-promoting complex subunit 7  ,sp|Q9WVM3|APC7_MOUSE,Q9WVM3,Anapc7,0.23,0.242,0.57,0.199,0.24,0.5,0.46,0.145,56317
Anaphase-promoting complex subunit CDC26  ,sp|Q99JP4|CDC26_MOUSE,Q99JP4,Cdc26,-0.06,0.805,0,0.425,-0.22,0.428,-0.74,0.898,66440
Angiopoietin-1  ,sp|O08538|ANGP1_MOUSE,O08538,Angpt1,0.43,0.061,0.34,0.063,0.27,0.244,0.26,0.389,11600
Angiopoietin-related protein 2  ,sp|Q9R045|ANGL2_MOUSE,Q9R045,Angptl2,0.1,0.872,0.48,0.123,0.67,0.139,-0.14,0.883,26360
Angiotensin-converting enzyme  ,sp|P09470|ACE_MOUSE,P09470,Ace,-0.08,0.743,0.92,0.004,-0.06,0.876,-0.74,0.225,11421
Ankycorbin  ,sp|Q9EP71|RAI14_MOUSE,Q9EP71,Rai14,0.07,0.686,0.06,0.52,0.17,0.786,0.33,0.653,75646
Ankyrin repeat and FYVE domain-containing protein 1  ,sp|Q810B6|ANFY1_MOUSE,Q810B6,Ankfy1,0.01,0.959,0.06,0.984,0.24,0.666,0.2,0.821,11736
Ankyrin repeat and MYND domain-containing protein 2  ,sp|Q3TPE9|ANKY2_MOUSE,Q3TPE9,Ankmy2,-0.18,0.323,0.13,0.739,-0.17,0.142,0.09,0.621,217473
Ankyrin repeat and SAM domain-containing protein 1A  ,sp|P59672|ANS1A_MOUSE,P59672,Anks1a,0.03,0.909,0.39,0.312,-0.13,0.069,0.65,0.647,224650
Ankyrin repeat and zinc finger domain-containing protein 1  ,sp|Q80UU1|ANKZ1_MOUSE,Q80UU1,Ankzf1,-0.1,0.56,0.31,0.099,-0.08,0.173,-1.1,0.33,52231
Ankyrin repeat domain-containing protein 13A  ,sp|Q80UP5|AN13A_MOUSE,Q80UP5,Ankrd13a,-0.17,0.615,-0.41,0.357,-0.29,0.784,-0.71,0.914,68420
Ankyrin-3  ,sp|G5E8K5|ANK3_MOUSE,G5E8K5,Ank3,-0.1,0.689,-0.18,0.968,-0.07,0.737,-0.06,0.568,11735
